"","city","metric","region","metro_size","display_title","Season","seasonal_average","lq_rank"
"390","San Antonio","downtown","Southwest","large","San Antonio, TX","Season_3",0.528636363636364,31
"391","New York","downtown","Northeast","large","New York, NY","Season_8",0.528358917430783,40
"392","Toronto","downtown","Canada","large","Toronto, ON","Season_11",0.52656721621531,45
"393","Columbus","downtown","Midwest","large","Columbus, OH","Season_5",0.526,33
"394","Boston","downtown","Northeast","medium","Boston, MA","Season_9",0.523475111687101,43
"395","Detroit","downtown","Midwest","medium","Detroit, MI","Season_10",0.523043013653233,42
"396","Tulsa","downtown","Southwest","medium","Tulsa, OK","Season_4",0.523,29
"397","Austin","downtown","Southwest","large","Austin, TX","Season_5",0.522857142857143,34
"398","Edmonton","downtown","Canada","large","Edmonton, AB","Season_11",0.521293617933357,46
"399","Pittsburgh","downtown","Northeast","medium","Pittsburgh, PA","Season_3",0.521111111111111,32
"400","Memphis","downtown","Southeast","medium","Memphis, TN","Season_1",0.5205,26
"401","Sacramento","downtown","Pacific","medium","Sacramento, CA","Season_5",0.52,35
"402","Sacramento","downtown","Pacific","medium","Sacramento, CA","Season_2",0.519090909090909,22
"403","Jacksonville","downtown","Southeast","large","Jacksonville, FL","Season_3",0.5185,33
"404","Cincinnati","downtown","Midwest","medium","Cincinnati, OH","Season_5",0.518,36
"405","New Orleans","downtown","Southeast","medium","New Orleans, LA","Season_11",0.517812953793009,47
"406","Seattle","downtown","Pacific","large","Seattle, WA","Season_9",0.517019166072109,44
"407","Cincinnati","downtown","Midwest","medium","Cincinnati, OH","Season_3",0.514583333333333,34
"408","Dallas","downtown","Southwest","large","Dallas, TX","Season_3",0.514444444444444,35
"409","Edmonton","downtown","Canada","large","Edmonton, AB","Season_9",0.513920451196087,45
"410","Los Angeles","downtown","Pacific","large","Los Angeles, CA","Season_1",0.51375,27
"411","Salt Lake City","downtown","Southwest","medium","Salt Lake City, UT","Season_1",0.51375,28
"412","Quebec","downtown","Canada","medium","Quebec, QC","Season_11",0.513133540843738,48
"413","Charlotte","downtown","Southeast","large","Charlotte, NC","Season_7",0.5125,47
"414","Cleveland","downtown","Midwest","medium","Cleveland, OH","Season_2",0.5125,23
"415","Oakland","downtown","Pacific","medium","Oakland, CA","Season_4",0.512,30
"416","Oakland","downtown","Pacific","medium","Oakland, CA","Season_2",0.511818181818182,24
"417","Las Vegas","downtown","Southwest","medium","Las Vegas, NV","Season_1",0.511666666666667,29
"418","Omaha","downtown","Midwest","medium","Omaha, NE","Season_2",0.510909090909091,25
"419","Philadelphia","downtown","Northeast","large","Philadelphia, PA","Season_9",0.509569944014429,46
"420","Ottawa","downtown","Canada","large","Ottawa, ON","Season_11",0.509257044450082,49
"421","Minneapolis","downtown","Midwest","medium","Minneapolis, MN","Season_11",0.509049284279303,50
"422","Miami","downtown","Southeast","medium","Miami, FL","Season_2",0.50875,26
"423","Houston","downtown","Southwest","large","Houston, TX","Season_3",0.508333333333333,36
"424","Raleigh","downtown","Southeast","medium","Raleigh, NC","Season_11",0.507945414799516,51
"425","Pittsburgh","downtown","Northeast","medium","Pittsburgh, PA","Season_4",0.507,31
"426","Louisville","downtown","Midwest","medium","Louisville, KY","Season_8",0.506926300421839,41
"427","San Diego","downtown","Pacific","large","San Diego, CA","Season_2",0.506666666666667,27
"428","Tulsa","downtown","Southwest","medium","Tulsa, OK","Season_2",0.505,28
"429","San Jose","downtown","Pacific","large","San Jose, CA","Season_9",0.504809316474029,47
"430","Chicago","downtown","Midwest","large","Chicago, IL","Season_11",0.50252896153311,52
"431","Houston","downtown","Southwest","large","Houston, TX","Season_5",0.5025,37
"432","Austin","downtown","Southwest","large","Austin, TX","Season_4",0.501818181818182,32
"433","St Louis","downtown","Midwest","medium","St. Louis, MO","Season_9",0.501455592255398,48
"434","Halifax","downtown","Canada","medium","Halifax, NS","Season_10",0.501085719465584,43
"435","Charlotte","downtown","Southeast","large","Charlotte, NC","Season_2",0.500909090909091,29
"436","Milwaukee","downtown","Midwest","medium","Milwaukee, WI","Season_2",0.500833333333333,30
"437","Sacramento","downtown","Pacific","medium","Sacramento, CA","Season_4",0.5,33
"438","Winnipeg","downtown","Canada","large","Winnipeg, MB","Season_7",0.5,48
"439","New Orleans","downtown","Southeast","medium","New Orleans, LA","Season_10",0.499428451970854,44
"440","Indianapolis","downtown","Midwest","large","Indianapolis, IN","Season_7",0.498,49
"441","Louisville","downtown","Midwest","medium","Louisville, KY","Season_6",0.497692307692308,42
"442","Fort Worth","downtown","Southwest","large","Fort Worth, TX","Season_1",0.496923076923077,30
"443","Tulsa","downtown","Southwest","medium","Tulsa, OK","Season_1",0.496111111111111,31
"444","San Jose","downtown","Pacific","large","San Jose, CA","Season_3",0.495416666666667,37
"445","Pittsburgh","downtown","Northeast","medium","Pittsburgh, PA","Season_10",0.492617077263901,45
"446","Oakland","downtown","Pacific","medium","Oakland, CA","Season_11",0.492249753874716,53
"447","Orlando","downtown","Southeast","medium","Orlando, FL","Season_3",0.492083333333333,38
"448","Halifax","downtown","Canada","medium","Halifax, NS","Season_3",0.491363636363636,39
"449","Louisville","downtown","Midwest","medium","Louisville, KY","Season_4",0.491111111111111,34
"450","Oklahoma City","downtown","Southwest","medium","Oklahoma City, OK","Season_1",0.49,32
"451","St Louis","downtown","Midwest","medium","St. Louis, MO","Season_6",0.489166666666667,43
"452","Indianapolis","downtown","Midwest","large","Indianapolis, IN","Season_4",0.488181818181818,35
"453","Atlanta","downtown","Southeast","medium","Atlanta, GA","Season_10",0.487853198916182,46
"454","Detroit","downtown","Midwest","medium","Detroit, MI","Season_11",0.4865208508148,54
"455","Quebec","downtown","Canada","medium","Quebec, QC","Season_8",0.48540700590512,42
"456","Raleigh","downtown","Southeast","medium","Raleigh, NC","Season_10",0.484982370591276,47
"457","Kansas City","downtown","Midwest","medium","Kansas City, MO","Season_3",0.484615384615385,40
"458","Charlotte","downtown","Southeast","large","Charlotte, NC","Season_1",0.484545454545455,33
"459","Oakland","downtown","Pacific","medium","Oakland, CA","Season_5",0.484444444444444,38
"460","London","downtown","Canada","medium","London, ON","Season_6",0.484,44
"461","London","downtown","Canada","medium","London, ON","Season_4",0.483333333333333,36
"462","Winnipeg","downtown","Canada","large","Winnipeg, MB","Season_9",0.482741843381319,49
"463","Jacksonville","downtown","Southeast","large","Jacksonville, FL","Season_2",0.482727272727273,31
"464","Ottawa","downtown","Canada","large","Ottawa, ON","Season_9",0.481889182918732,50
"465","Kansas City","downtown","Midwest","medium","Kansas City, MO","Season_5",0.481666666666667,39
"466","Winnipeg","downtown","Canada","large","Winnipeg, MB","Season_11",0.481630714320137,55
"467","Tulsa","downtown","Southwest","medium","Tulsa, OK","Season_3",0.4805,41
"468","Charlotte","downtown","Southeast","large","Charlotte, NC","Season_8",0.480252762159266,43
"469","Atlanta","downtown","Southeast","medium","Atlanta, GA","Season_9",0.480003612270951,51
"470","Calgary","downtown","Canada","large","Calgary, AB","Season_3",0.48,42
"471","Cleveland","downtown","Midwest","medium","Cleveland, OH","Season_1",0.48,34
"472","Philadelphia","downtown","Northeast","large","Philadelphia, PA","Season_3",0.479,43
"473","Nashville","downtown","Southeast","large","Nashville, TN","Season_3",0.47875,44
"474","Portland","downtown","Pacific","medium","Portland, OR","Season_7",0.47875,50
"475","Philadelphia","downtown","Northeast","large","Philadelphia, PA","Season_8",0.477380940255122,44
"476","Edmonton","downtown","Canada","large","Edmonton, AB","Season_3",0.477222222222222,45
"477","Chicago","downtown","Midwest","large","Chicago, IL","Season_10",0.476547746992193,48
"478","Oakland","downtown","Pacific","medium","Oakland, CA","Season_10",0.476480232095932,49
"479","New Orleans","downtown","Southeast","medium","New Orleans, LA","Season_8",0.476302430596579,45
"480","New Orleans","downtown","Southeast","medium","New Orleans, LA","Season_5",0.475833333333333,40
"481","Halifax","downtown","Canada","medium","Halifax, NS","Season_5",0.474166666666667,41
"482","Atlanta","downtown","Southeast","medium","Atlanta, GA","Season_8",0.472976536189902,46
"483","Detroit","downtown","Midwest","medium","Detroit, MI","Season_7",0.472857142857143,51
"484","Raleigh","downtown","Southeast","medium","Raleigh, NC","Season_6",0.4725,45
"485","Philadelphia","downtown","Northeast","large","Philadelphia, PA","Season_11",0.472329489119194,56
"486","Louisville","downtown","Midwest","medium","Louisville, KY","Season_9",0.472071443979709,52
"487","Chicago","downtown","Midwest","large","Chicago, IL","Season_7",0.471666666666667,52
"488","Kansas City","downtown","Midwest","medium","Kansas City, MO","Season_8",0.471113174529716,47
"489","Ottawa","downtown","Canada","large","Ottawa, ON","Season_2",0.471,32
"490","Philadelphia","downtown","Northeast","large","Philadelphia, PA","Season_5",0.47,42
"491","Kansas City","downtown","Midwest","medium","Kansas City, MO","Season_11",0.469831165756836,57
"492","Pittsburgh","downtown","Northeast","medium","Pittsburgh, PA","Season_2",0.469166666666667,33
"493","Edmonton","downtown","Canada","large","Edmonton, AB","Season_7",0.4675,53
"494","Calgary","downtown","Canada","large","Calgary, AB","Season_10",0.467124212832892,50
"495","Quebec","downtown","Canada","medium","Quebec, QC","Season_6",0.467,46
"496","Oakland","downtown","Pacific","medium","Oakland, CA","Season_8",0.466631713222466,48
"497","St Louis","downtown","Midwest","medium","St. Louis, MO","Season_8",0.466399778082005,49
"498","New York","downtown","Northeast","large","New York, NY","Season_6",0.46625,47
"499","Vancouver","downtown","Canada","medium","Vancouver, BC","Season_11",0.46579854305957,58
"500","Oakland","downtown","Pacific","medium","Oakland, CA","Season_9",0.464836912115579,53
"501","Indianapolis","downtown","Midwest","large","Indianapolis, IN","Season_5",0.464166666666667,43
"502","New Orleans","downtown","Southeast","medium","New Orleans, LA","Season_9",0.462815066125337,54
"503","Calgary","downtown","Canada","large","Calgary, AB","Season_9",0.46258629388737,55
"504","Houston","downtown","Southwest","large","Houston, TX","Season_4",0.462307692307692,37
"505","Toronto","downtown","Canada","large","Toronto, ON","Season_9",0.462039313531831,56
"506","Indianapolis","downtown","Midwest","large","Indianapolis, IN","Season_6",0.462,48
"507","San Diego","downtown","Pacific","large","San Diego, CA","Season_1",0.4615,35
"508","Calgary","downtown","Canada","large","Calgary, AB","Season_1",0.46,36
"509","Philadelphia","downtown","Northeast","large","Philadelphia, PA","Season_6",0.46,49
"510","Seattle","downtown","Pacific","large","Seattle, WA","Season_6",0.46,50
"511","Charlotte","downtown","Southeast","large","Charlotte, NC","Season_5",0.459090909090909,44
"512","Minneapolis","downtown","Midwest","medium","Minneapolis, MN","Season_7",0.458461538461538,54
"513","Denver","downtown","Southwest","large","Denver, CO","Season_2",0.458181818181818,34
"514","Ottawa","downtown","Canada","large","Ottawa, ON","Season_1",0.458181818181818,37
"515","Cincinnati","downtown","Midwest","medium","Cincinnati, OH","Season_4",0.458,38
"516","Winnipeg","downtown","Canada","large","Winnipeg, MB","Season_8",0.457373056716729,50
"517","Halifax","downtown","Canada","medium","Halifax, NS","Season_1",0.457272727272727,38
"518","Montreal","downtown","Canada","large","Montreal, QC","Season_11",0.457192180479571,59
"519","Calgary","downtown","Canada","large","Calgary, AB","Season_6",0.456,51
"520","Winnipeg","downtown","Canada","large","Winnipeg, MB","Season_3",0.455909090909091,46
"521","Edmonton","downtown","Canada","large","Edmonton, AB","Season_2",0.455555555555556,35
"522","Vancouver","downtown","Canada","medium","Vancouver, BC","Season_10",0.453864698520415,51
"523","Winnipeg","downtown","Canada","large","Winnipeg, MB","Season_2",0.453333333333333,36
"524","Cleveland","downtown","Midwest","medium","Cleveland, OH","Season_8",0.452835877803241,51
"525","New Orleans","downtown","Southeast","medium","New Orleans, LA","Season_3",0.4525,47
"526","Halifax","downtown","Canada","medium","Halifax, NS","Season_6",0.452222222222222,52
"527","London","downtown","Canada","medium","London, ON","Season_10",0.451949713406308,52
"528","Chicago","downtown","Midwest","large","Chicago, IL","Season_8",0.45186585514928,52
"529","Raleigh","downtown","Southeast","medium","Raleigh, NC","Season_9",0.45130522561982,57
"530","San Jose","downtown","Pacific","large","San Jose, CA","Season_5",0.451111111111111,45
