"","city","metric","region","metro_size","display_title","Season","seasonal_average","lq_rank"
"388","Oklahoma City","city","Southwest","medium","Oklahoma City, OK","Season_8",0.882551584594402,44
"389","Cincinnati","city","Midwest","medium","Cincinnati, OH","Season_4",0.8825,34
"390","Memphis","relative","Southeast","medium","Memphis, TN","Season_7",0.8825,52
"391","Las Vegas","downtown","Southwest","medium","Las Vegas, NV","Season_13",0.882282014377745,12
"392","Bakersfield","downtown","Pacific","medium","Bakersfield, CA","Season_1",0.882,15
"393","Las Vegas","relative","Southwest","medium","Las Vegas, NV","Season_7",0.882,53
"394","Milwaukee","relative","Midwest","medium","Milwaukee, WI","Season_8",0.881947048767129,45
"395","San Diego","downtown","Pacific","large","San Diego, CA","Season_13",0.881518318889532,13
"396","Minneapolis","city","Midwest","medium","Minneapolis, MN","Season_9",0.881470570826246,54
"397","Winnipeg","city","Canada","large","Winnipeg, MB","Season_2",0.88125,24
"398","Las Vegas","downtown","Southwest","medium","Las Vegas, NV","Season_6",0.881111111111111,53
"399","Tucson","city","Southwest","medium","Tucson, AZ","Season_1",0.88,16
"400","Denver","city","Southwest","large","Denver, CO","Season_2",0.879090909090909,25
"401","Memphis","city","Southeast","medium","Memphis, TN","Season_5",0.878888888888889,41
"402","Ottawa","city","Canada","large","Ottawa, ON","Season_6",0.878888888888889,54
"403","Indianapolis","city","Midwest","large","Indianapolis, IN","Season_6",0.877777777777778,55
"404","Las Vegas","city","Southwest","medium","Las Vegas, NV","Season_4",0.877777777777778,35
"405","Louisville","city","Midwest","medium","Louisville, KY","Season_5",0.877777777777778,42
"406","Baltimore","city","Northeast","medium","Baltimore, MD","Season_1",0.8775,17
"407","Milwaukee","city","Midwest","medium","Milwaukee, WI","Season_7",0.877142857142857,54
"408","San Antonio","city","Southwest","large","San Antonio, TX","Season_3",0.877142857142857,35
"409","Dallas","city","Southwest","large","Dallas, TX","Season_5",0.87625,43
"410","Houston","city","Southwest","large","Houston, TX","Season_8",0.876234012846791,46
"411","Calgary","city","Canada","large","Calgary, AB","Season_5",0.876,44
"412","Columbus","city","Midwest","large","Columbus, OH","Season_6",0.875,56
"413","Houston","city","Southwest","large","Houston, TX","Season_9",0.874886308142089,55
"414","Miami","relative","Southeast","medium","Miami, FL","Season_7",0.874545454545455,55
"415","Ottawa","city","Canada","large","Ottawa, ON","Season_9",0.874469001508061,56
"416","Milwaukee","relative","Midwest","medium","Milwaukee, WI","Season_3",0.874090909090909,36
"417","Omaha","city","Midwest","medium","Omaha, NE","Season_7",0.874,56
"418","Wichita","downtown","Midwest","medium","Wichita, KS","Season_11",0.873163445482876,14
"419","London","city","Canada","medium","London, ON","Season_5",0.872222222222222,45
"420","Baltimore","downtown","Northeast","medium","Baltimore, MD","Season_13",0.871940033730232,14
"421","Milwaukee","relative","Midwest","medium","Milwaukee, WI","Season_7",0.871538461538461,57
"422","Salt Lake City","relative","Southwest","medium","Salt Lake City, UT","Season_3",0.871153846153846,37
"423","Louisville","city","Midwest","medium","Louisville, KY","Season_6",0.87,57
