"","city","normalized_visits_by_total_visits","week","metric","region","metro_size","display_title"
"82","Detroit",0.344478801162464,2022-06-20,"downtown","Midwest","medium","Detroit, MI"
"83","Edmonton",0.481214583104397,2022-06-20,"downtown","Canada","large","Edmonton, AB"
"84","El Paso",0.924577381964097,2022-06-20,"downtown","Southwest","medium","El Paso, TX"
"85","Fort Worth",0.651248005421743,2022-06-20,"downtown","Southwest","large","Fort Worth, TX"
"86","Fresno",1.10021950221553,2022-06-20,"downtown","Pacific","medium","Fresno, CA"
"87","Halifax",0.547156236757824,2022-06-20,"downtown","Canada","medium","Halifax, NS"
"88","Honolulu",0.766238894920637,2022-06-20,"downtown","Pacific","medium","Honolulu, HI"
"89","Houston",0.559028604684976,2022-06-20,"downtown","Southwest","large","Houston, TX"
"90","Indianapolis",0.488057340256877,2022-06-20,"downtown","Midwest","large","Indianapolis, IN"
"91","Jacksonville",0.754039382343528,2022-06-20,"downtown","Southeast","large","Jacksonville, FL"
"92","Kansas City",0.511898497029303,2022-06-20,"downtown","Midwest","medium","Kansas City, MO"
"93","Las Vegas",0.773288675505329,2022-06-20,"downtown","Southwest","medium","Las Vegas, NV"
"94","London",0.462948793297767,2022-06-20,"downtown","Canada","medium","London, ON"
"95","Los Angeles",0.61392404261903,2022-06-20,"downtown","Pacific","large","Los Angeles, CA"
"96","Louisville",0.3775606417583,2022-06-20,"downtown","Midwest","medium","Louisville, KY"
"97","Memphis",0.654876440957066,2022-06-20,"downtown","Southeast","medium","Memphis, TN"
"98","Miami",0.67177237750401,2022-06-20,"downtown","Southeast","medium","Miami, FL"
"99","Milwaukee",1.00712216643466,2022-06-20,"downtown","Midwest","medium","Milwaukee, WI"
"100","Minneapolis",0.372739807690075,2022-06-20,"downtown","Midwest","medium","Minneapolis, MN"
"101","Mississauga",0.77745052361221,2022-06-20,"downtown","Canada","medium","Mississauga, ON"
"102","Montreal",0.376217914533399,2022-06-20,"downtown","Canada","large","Montreal, QC"
"103","Nashville",0.559108145276009,2022-06-20,"downtown","Southeast","large","Nashville, TN"
"104","New Orleans",0.454417912747945,2022-06-20,"downtown","Southeast","medium","New Orleans, LA"
"105","New York",0.650830636310914,2022-06-20,"downtown","Northeast","large","New York, NY"
"106","Oakland",0.45257183269601,2022-06-20,"downtown","Pacific","medium","Oakland, CA"
"107","Oklahoma City",1.24490476576108,2022-06-20,"downtown","Southwest","medium","Oklahoma City, OK"
"108","Omaha",0.698022479171743,2022-06-20,"downtown","Midwest","medium","Omaha, NE"
"109","Orlando",0.904329770830927,2022-06-20,"downtown","Southeast","medium","Orlando, FL"
"110","Ottawa",0.359969124128678,2022-06-20,"downtown","Canada","large","Ottawa, ON"
"111","Philadelphia",0.408723833484057,2022-06-20,"downtown","Northeast","large","Philadelphia, PA"
"112","Phoenix",0.889950376550228,2022-06-20,"downtown","Southwest","large","Phoenix, AZ"
"113","Pittsburgh",0.333415884161817,2022-06-20,"downtown","Northeast","medium","Pittsburgh, PA"
"114","Portland",0.27846863128797,2022-06-20,"downtown","Pacific","medium","Portland, OR"
"115","Quebec",0.495721891541894,2022-06-20,"downtown","Canada","medium","Quebec, QC"
"116","Raleigh",0.511793435311552,2022-06-20,"downtown","Southeast","medium","Raleigh, NC"
"117","Sacramento",0.690272457561525,2022-06-20,"downtown","Pacific","medium","Sacramento, CA"
"118","Salt Lake City",1.35483767602409,2022-06-20,"downtown","Southwest","medium","Salt Lake City, UT"
"119","San Antonio",0.602675665005851,2022-06-20,"downtown","Southwest","large","San Antonio, TX"
"120","San Diego",1.00007108856865,2022-06-20,"downtown","Pacific","large","San Diego, CA"
"121","San Francisco",0.398447670911666,2022-06-20,"downtown","Pacific","large","San Francisco, CA"
"122","San Jose",0.62282594546288,2022-06-20,"downtown","Pacific","large","San Jose, CA"
"123","Seattle",0.472745851351887,2022-06-20,"downtown","Pacific","large","Seattle, WA"
"124","St Louis",0.473975878374991,2022-06-20,"downtown","Midwest","medium","St. Louis, MO"
"125","Tampa",0.947036507203984,2022-06-20,"downtown","Southeast","medium","Tampa, FL"
"126","Toronto",0.35465238826303,2022-06-20,"downtown","Canada","large","Toronto, ON"
"127","Tucson",0.755737951846654,2022-06-20,"downtown","Southwest","medium","Tucson, AZ"
"128","Tulsa",0.467958289764601,2022-06-20,"downtown","Southwest","medium","Tulsa, OK"
"129","Vancouver",0.395428830881092,2022-06-20,"downtown","Canada","medium","Vancouver, BC"
"130","Washington DC",0.640391220781041,2022-06-20,"downtown","Northeast","large","Washington DC"
"131","Wichita",0.868632354336785,2022-06-20,"downtown","Midwest","medium","Wichita, KS"
"132","Winnipeg",0.433888876073008,2022-06-20,"downtown","Canada","large","Winnipeg, MB"
"133","Albuquerque",0.780488615348453,2022-06-27,"downtown","Southwest","medium","Albuquerque, NM"
"134","Atlanta",0.482641902494593,2022-06-27,"downtown","Southeast","medium","Atlanta, GA"
"135","Austin",0.564583104822253,2022-06-27,"downtown","Southwest","large","Austin, TX"
"136","Bakersfield",1.19267227364523,2022-06-27,"downtown","Pacific","medium","Bakersfield, CA"
"137","Baltimore",0.721742224823578,2022-06-27,"downtown","Northeast","medium","Baltimore, MD"
"138","Boston",0.515394255501789,2022-06-27,"downtown","Northeast","medium","Boston, MA"
"139","Calgary",0.408429597920921,2022-06-27,"downtown","Canada","large","Calgary, AB"
"140","Charlotte",0.692045393655035,2022-06-27,"downtown","Southeast","large","Charlotte, NC"
"141","Chicago",0.50546915003434,2022-06-27,"downtown","Midwest","large","Chicago, IL"
"142","Cincinnati",0.532839527380634,2022-06-27,"downtown","Midwest","medium","Cincinnati, OH"
"143","Cleveland",0.282707516374945,2022-06-27,"downtown","Midwest","medium","Cleveland, OH"
"144","Colorado Springs",0.713297753317358,2022-06-27,"downtown","Southwest","medium","Colorado Springs, CO"
"145","Columbus",0.563178115958033,2022-06-27,"downtown","Midwest","large","Columbus, OH"
"146","Dallas",1.51855807350083,2022-06-27,"downtown","Southwest","large","Dallas, TX"
"147","Denver",0.784342539103316,2022-06-27,"downtown","Southwest","large","Denver, CO"
"148","Detroit",0.454682187878637,2022-06-27,"downtown","Midwest","medium","Detroit, MI"
"149","Edmonton",0.386303343237375,2022-06-27,"downtown","Canada","large","Edmonton, AB"
"150","El Paso",0.848556509893451,2022-06-27,"downtown","Southwest","medium","El Paso, TX"
"151","Fort Worth",0.562062263704601,2022-06-27,"downtown","Southwest","large","Fort Worth, TX"
"152","Fresno",0.983756968657441,2022-06-27,"downtown","Pacific","medium","Fresno, CA"
"153","Halifax",0.462448976344988,2022-06-27,"downtown","Canada","medium","Halifax, NS"
"154","Honolulu",0.769273543723874,2022-06-27,"downtown","Pacific","medium","Honolulu, HI"
"155","Houston",0.552303279212364,2022-06-27,"downtown","Southwest","large","Houston, TX"
"156","Indianapolis",0.424942328778779,2022-06-27,"downtown","Midwest","large","Indianapolis, IN"
"157","Jacksonville",0.949598246014221,2022-06-27,"downtown","Southeast","large","Jacksonville, FL"
"158","Kansas City",0.476617880810911,2022-06-27,"downtown","Midwest","medium","Kansas City, MO"
"159","Las Vegas",0.758871044089867,2022-06-27,"downtown","Southwest","medium","Las Vegas, NV"
"160","London",0.402883330531942,2022-06-27,"downtown","Canada","medium","London, ON"
"161","Los Angeles",0.659017451948366,2022-06-27,"downtown","Pacific","large","Los Angeles, CA"
"162","Louisville",0.335232281612277,2022-06-27,"downtown","Midwest","medium","Louisville, KY"
"163","Memphis",0.63618627010132,2022-06-27,"downtown","Southeast","medium","Memphis, TN"
"164","Miami",0.647789931820738,2022-06-27,"downtown","Southeast","medium","Miami, FL"
"165","Milwaukee",0.45948154483034,2022-06-27,"downtown","Midwest","medium","Milwaukee, WI"
"166","Minneapolis",0.352167425687615,2022-06-27,"downtown","Midwest","medium","Minneapolis, MN"
"167","Mississauga",0.787408475743865,2022-06-27,"downtown","Canada","medium","Mississauga, ON"
"168","Montreal",0.451576982655687,2022-06-27,"downtown","Canada","large","Montreal, QC"
"169","Nashville",0.691435083086458,2022-06-27,"downtown","Southeast","large","Nashville, TN"
"170","New Orleans",0.594645004049152,2022-06-27,"downtown","Southeast","medium","New Orleans, LA"
"171","New York",0.642925287530687,2022-06-27,"downtown","Northeast","large","New York, NY"
"172","Oakland",0.447116216599836,2022-06-27,"downtown","Pacific","medium","Oakland, CA"
"173","Oklahoma City",1.23891562501524,2022-06-27,"downtown","Southwest","medium","Oklahoma City, OK"
"174","Omaha",0.414994511810572,2022-06-27,"downtown","Midwest","medium","Omaha, NE"
"175","Orlando",1.25631176632177,2022-06-27,"downtown","Southeast","medium","Orlando, FL"
"176","Ottawa",0.401035948756941,2022-06-27,"downtown","Canada","large","Ottawa, ON"
"177","Philadelphia",0.409989876531403,2022-06-27,"downtown","Northeast","large","Philadelphia, PA"
"178","Phoenix",0.439156889284128,2022-06-27,"downtown","Southwest","large","Phoenix, AZ"
"179","Pittsburgh",0.397743345889663,2022-06-27,"downtown","Northeast","medium","Pittsburgh, PA"
"180","Portland",0.29788485594383,2022-06-27,"downtown","Pacific","medium","Portland, OR"
"181","Quebec",0.561445858499768,2022-06-27,"downtown","Canada","medium","Quebec, QC"
"182","Raleigh",0.372425073133595,2022-06-27,"downtown","Southeast","medium","Raleigh, NC"
"183","Sacramento",0.729502447108232,2022-06-27,"downtown","Pacific","medium","Sacramento, CA"
"184","Salt Lake City",1.17211526091304,2022-06-27,"downtown","Southwest","medium","Salt Lake City, UT"
"185","San Antonio",0.560400075505804,2022-06-27,"downtown","Southwest","large","San Antonio, TX"
"186","San Diego",1.09296382588731,2022-06-27,"downtown","Pacific","large","San Diego, CA"
"187","San Francisco",0.27723373091929,2022-06-27,"downtown","Pacific","large","San Francisco, CA"
"188","San Jose",0.525299166509772,2022-06-27,"downtown","Pacific","large","San Jose, CA"
"189","Seattle",0.399631282062272,2022-06-27,"downtown","Pacific","large","Seattle, WA"
"190","St Louis",0.377835870030056,2022-06-27,"downtown","Midwest","medium","St. Louis, MO"
"191","Tampa",0.68268104922023,2022-06-27,"downtown","Southeast","medium","Tampa, FL"
"192","Toronto",0.412689000001788,2022-06-27,"downtown","Canada","large","Toronto, ON"
"193","Tucson",0.753530993649321,2022-06-27,"downtown","Southwest","medium","Tucson, AZ"
"194","Tulsa",0.451992523133626,2022-06-27,"downtown","Southwest","medium","Tulsa, OK"
"195","Vancouver",0.419482055298979,2022-06-27,"downtown","Canada","medium","Vancouver, BC"
"196","Washington DC",0.666428771121704,2022-06-27,"downtown","Northeast","large","Washington DC"
"197","Wichita",0.727904374081142,2022-06-27,"downtown","Midwest","medium","Wichita, KS"
"198","Winnipeg",0.395268536774305,2022-06-27,"downtown","Canada","large","Winnipeg, MB"
"199","Albuquerque",0.894582630831741,2022-07-04,"downtown","Southwest","medium","Albuquerque, NM"
"200","Atlanta",0.464758110372602,2022-07-04,"downtown","Southeast","medium","Atlanta, GA"
"201","Austin",0.532037980639432,2022-07-04,"downtown","Southwest","large","Austin, TX"
"202","Bakersfield",1.13255769724879,2022-07-04,"downtown","Pacific","medium","Bakersfield, CA"
"203","Baltimore",0.8745250988582,2022-07-04,"downtown","Northeast","medium","Baltimore, MD"
"204","Boston",0.582359902838509,2022-07-04,"downtown","Northeast","medium","Boston, MA"
"205","Calgary",0.641371212646616,2022-07-04,"downtown","Canada","large","Calgary, AB"
"206","Charlotte",0.613182159741849,2022-07-04,"downtown","Southeast","large","Charlotte, NC"
"207","Chicago",0.546906478164567,2022-07-04,"downtown","Midwest","large","Chicago, IL"
"208","Cincinnati",0.60649966628315,2022-07-04,"downtown","Midwest","medium","Cincinnati, OH"
"209","Cleveland",0.284769302400748,2022-07-04,"downtown","Midwest","medium","Cleveland, OH"
