"","city","normalized_visits_by_total_visits","week","metric","region","metro_size","display_title"
"20408","Salt Lake City",0.65,2020-03-16,"relative","Southwest","medium","Salt Lake City, UT"
"20409","St Louis",0.28,2020-03-16,"relative","Midwest","medium","St. Louis, MO"
"20410","Orlando",1.87,2020-03-16,"relative","Southeast","medium","Orlando, FL"
"20411","Toronto",0.51,2020-03-16,"relative","Canada","large","Toronto, ON"
"20412","Montreal",0.53,2020-03-16,"relative","Canada","large","Montreal, QC"
"20413","New York",0.36,2020-03-16,"relative","Northeast","large","New York, NY"
"20414","Los Angeles",0.74,2020-03-16,"relative","Pacific","large","Los Angeles, CA"
"20415","Chicago",0.4,2020-03-16,"relative","Midwest","large","Chicago, IL"
"20416","Houston",0.54,2020-03-16,"relative","Southwest","large","Houston, TX"
"20417","Phoenix",0.87,2020-03-16,"relative","Southwest","large","Phoenix, AZ"
"20418","Philadelphia",0.55,2020-03-16,"relative","Northeast","large","Philadelphia, PA"
"20419","San Antonio",0.32,2020-03-16,"relative","Southwest","large","San Antonio, TX"
"20420","San Diego",0.57,2020-03-16,"relative","Pacific","large","San Diego, CA"
"20421","Oakland",0.87,2020-03-16,"relative","Pacific","medium","Oakland, CA"
"20422","Minneapolis",0.57,2020-03-16,"relative","Midwest","medium","Minneapolis, MN"
"20423","Tulsa",0.63,2020-03-16,"relative","Southwest","medium","Tulsa, OK"
"20424","Bakersfield",0.85,2020-03-16,"relative","Pacific","medium","Bakersfield, CA"
"20425","Wichita",0.68,2020-03-16,"relative","Midwest","medium","Wichita, KS"
"20426","Tampa",0.69,2020-03-16,"relative","Southeast","medium","Tampa, FL"
"20427","New Orleans",0.4,2020-03-16,"relative","Southeast","medium","New Orleans, LA"
"20428","Cleveland",0.4,2020-03-16,"relative","Midwest","medium","Cleveland, OH"
"20429","Fresno",1.03,2020-03-16,"relative","Pacific","medium","Fresno, CA"
"20430","Sacramento",0.72,2020-03-16,"relative","Pacific","medium","Sacramento, CA"
"20431","Kansas City",1.85,2020-03-16,"relative","Midwest","medium","Kansas City, MO"
"20432","Atlanta",0.47,2020-03-16,"relative","Southeast","medium","Atlanta, GA"
"20433","Omaha",0.83,2020-03-16,"relative","Midwest","medium","Omaha, NE"
"20434","Colorado Springs",0.57,2020-03-16,"relative","Southwest","medium","Colorado Springs, CO"
"20435","Raleigh",0.58,2020-03-16,"relative","Southeast","medium","Raleigh, NC"
"20436","Miami",0.92,2020-03-16,"relative","Southeast","medium","Miami, FL"
"20437","Dallas",0.49,2020-03-16,"relative","Southwest","large","Dallas, TX"
"20438","San Jose",0.61,2020-03-16,"relative","Pacific","large","San Jose, CA"
"20439","Austin",0.36,2020-03-16,"relative","Southwest","large","Austin, TX"
"20440","Jacksonville",0.6,2020-03-16,"relative","Southeast","large","Jacksonville, FL"
"20441","Fort Worth",0.61,2020-03-16,"relative","Southwest","large","Fort Worth, TX"
"20442","Columbus",0.44,2020-03-16,"relative","Midwest","large","Columbus, OH"
"20443","Indianapolis",0.5,2020-03-16,"relative","Midwest","large","Indianapolis, IN"
"20444","Charlotte",0.58,2020-03-16,"relative","Southeast","large","Charlotte, NC"
"20445","Portland",1.155,2020-03-23,"relative","Pacific","medium","Portland, OR"
"20446","Las Vegas",0.795,2020-03-23,"relative","Southwest","medium","Las Vegas, NV"
"20447","Detroit",0.28,2020-03-23,"relative","Midwest","medium","Detroit, MI"
"20448","Memphis",0.57,2020-03-23,"relative","Southeast","medium","Memphis, TN"
"20449","Louisville",1.065,2020-03-23,"relative","Midwest","medium","Louisville, KY"
"20450","Baltimore",0.59,2020-03-23,"relative","Northeast","medium","Baltimore, MD"
"20451","Milwaukee",0.655,2020-03-23,"relative","Midwest","medium","Milwaukee, WI"
"20452","Albuquerque",0.785,2020-03-23,"relative","Southwest","medium","Albuquerque, NM"
"20453","Tucson",0.64,2020-03-23,"relative","Southwest","medium","Tucson, AZ"
"20454","Calgary",0.525,2020-03-23,"relative","Canada","large","Calgary, AB"
"20455","Ottawa",0.53,2020-03-23,"relative","Canada","large","Ottawa, ON"
"20456","Edmonton",0.715,2020-03-23,"relative","Canada","large","Edmonton, AB"
"20457","Mississauga",0.76,2020-03-23,"relative","Canada","medium","Mississauga, ON"
"20458","Winnipeg",0.755,2020-03-23,"relative","Canada","large","Winnipeg, MB"
"20459","Vancouver",0.66,2020-03-23,"relative","Canada","medium","Vancouver, BC"
"20460","Quebec",0.635,2020-03-23,"relative","Canada","medium","Quebec, QC"
"20461","Halifax",0.56,2020-03-23,"relative","Canada","medium","Halifax, NS"
"20462","London",0.54,2020-03-23,"relative","Canada","medium","London, ON"
"20463","San Francisco",0.38,2020-03-23,"relative","Pacific","large","San Francisco, CA"
"20464","Seattle",0.695,2020-03-23,"relative","Pacific","large","Seattle, WA"
"20465","Denver",0.375,2020-03-23,"relative","Southwest","large","Denver, CO"
"20466","Washington DC",0.615,2020-03-23,"relative","Northeast","large","Washington DC"
"20467","Nashville",0.28,2020-03-23,"relative","Southeast","large","Nashville, TN"
"20468","Oklahoma City",0.58,2020-03-23,"relative","Southwest","medium","Oklahoma City, OK"
"20469","El Paso",0.86,2020-03-23,"relative","Southwest","medium","El Paso, TX"
"20470","Boston",0.365,2020-03-23,"relative","Northeast","medium","Boston, MA"
"20471","Honolulu",1.18,2020-03-23,"relative","Pacific","medium","Honolulu, HI"
"20472","Cincinnati",0.465,2020-03-23,"relative","Midwest","medium","Cincinnati, OH"
"20473","Pittsburgh",0.495,2020-03-23,"relative","Northeast","medium","Pittsburgh, PA"
"20474","Salt Lake City",0.565,2020-03-23,"relative","Southwest","medium","Salt Lake City, UT"
"20475","St Louis",0.39,2020-03-23,"relative","Midwest","medium","St. Louis, MO"
"20476","Orlando",1.875,2020-03-23,"relative","Southeast","medium","Orlando, FL"
"20477","Toronto",0.495,2020-03-23,"relative","Canada","large","Toronto, ON"
"20478","Montreal",0.5,2020-03-23,"relative","Canada","large","Montreal, QC"
"20479","New York",0.29,2020-03-23,"relative","Northeast","large","New York, NY"
"20480","Los Angeles",0.665,2020-03-23,"relative","Pacific","large","Los Angeles, CA"
"20481","Chicago",0.335,2020-03-23,"relative","Midwest","large","Chicago, IL"
"20482","Houston",0.495,2020-03-23,"relative","Southwest","large","Houston, TX"
"20483","Phoenix",0.88,2020-03-23,"relative","Southwest","large","Phoenix, AZ"
"20484","Philadelphia",0.5,2020-03-23,"relative","Northeast","large","Philadelphia, PA"
"20485","San Antonio",0.31,2020-03-23,"relative","Southwest","large","San Antonio, TX"
