"","display_title","seasonal_average","region","metric","city","Season","lq_rank","color"
"87","Toronto, ON",0.3225,"Canada","downtown","Toronto","Season_4",56,"#ab1368"
"88","Toronto, ON",0.3125,"Canada","downtown","Toronto","Season_5",57,"#ab1368"
"89","Vancouver, BC",0.46579854305957,"Canada","downtown","Vancouver","Season_11",54,"#ab1368"
"90","Vancouver, BC",0.453864698520415,"Canada","downtown","Vancouver","Season_10",47,"#ab1368"
"91","Vancouver, BC",0.442222222222222,"Canada","downtown","Vancouver","Season_7",53,"#ab1368"
"92","Vancouver, BC",0.430708313095951,"Canada","downtown","Vancouver","Season_9",57,"#ab1368"
"93","Vancouver, BC",0.420188210588329,"Canada","downtown","Vancouver","Season_8",56,"#ab1368"
"94","Vancouver, BC",0.417142857142857,"Canada","downtown","Vancouver","Season_4",42,"#ab1368"
"95","Vancouver, BC",0.412222222222222,"Canada","downtown","Vancouver","Season_1",42,"#ab1368"
"96","Vancouver, BC",0.4075,"Canada","downtown","Vancouver","Season_3",46,"#ab1368"
"97","Vancouver, BC",0.399090909090909,"Canada","downtown","Vancouver","Season_6",56,"#ab1368"
"98","Vancouver, BC",0.357777777777778,"Canada","downtown","Vancouver","Season_2",45,"#ab1368"
"99","Vancouver, BC",0.357142857142857,"Canada","downtown","Vancouver","Season_5",51,"#ab1368"
"100","Winnipeg, MB",0.602777777777778,"Canada","downtown","Winnipeg","Season_1",12,"#ab1368"
"101","Winnipeg, MB",0.5,"Canada","downtown","Winnipeg","Season_7",44,"#ab1368"
"102","Winnipeg, MB",0.482741843381319,"Canada","downtown","Winnipeg","Season_9",45,"#ab1368"
"103","Winnipeg, MB",0.481630714320137,"Canada","downtown","Winnipeg","Season_11",51,"#ab1368"
"104","Winnipeg, MB",0.457373056716729,"Canada","downtown","Winnipeg","Season_8",46,"#ab1368"
"105","Winnipeg, MB",0.455909090909091,"Canada","downtown","Winnipeg","Season_3",42,"#ab1368"
"106","Winnipeg, MB",0.453333333333333,"Canada","downtown","Winnipeg","Season_2",33,"#ab1368"
"107","Winnipeg, MB",0.448181818181818,"Canada","downtown","Winnipeg","Season_6",49,"#ab1368"
"108","Winnipeg, MB",0.438888888888889,"Canada","downtown","Winnipeg","Season_5",43,"#ab1368"
"109","Winnipeg, MB",0.435,"Canada","downtown","Winnipeg","Season_4",40,"#ab1368"
"110","Winnipeg, MB",0.425369639315841,"Canada","downtown","Winnipeg","Season_10",53,"#ab1368"
"111","Chicago, IL",0.50252896153311,"Midwest","downtown","Chicago","Season_11",48,"#007fa3"
"112","Chicago, IL",0.476547746992193,"Midwest","downtown","Chicago","Season_10",44,"#007fa3"
"113","Chicago, IL",0.471666666666667,"Midwest","downtown","Chicago","Season_7",48,"#007fa3"
"114","Chicago, IL",0.45186585514928,"Midwest","downtown","Chicago","Season_8",48,"#007fa3"
