"","X","week","metric","display_title","rolling_avg","city","region","color"
"88",2065,2020-04-13,"downtown","New York, NY",0.243636363636364,"New York","Northeast","#8dbf2e"
"89",2070,2020-04-13,"downtown","Philadelphia, PA",0.322727272727273,"Philadelphia","Northeast","#8dbf2e"
"90",2099,2020-04-13,"downtown","Pittsburgh, PA",0.369090909090909,"Pittsburgh","Northeast","#8dbf2e"
"91",2092,2020-04-13,"downtown","Washington DC",0.628181818181818,"Washington DC","Northeast","#8dbf2e"
"92",2076,2020-04-13,"downtown","Bakersfield, CA",0.858181818181818,"Bakersfield","Pacific","#6d247a"
"93",2105,2020-04-13,"downtown","Fresno, CA",0.803636363636364,"Fresno","Pacific","#6d247a"
"94",2097,2020-04-13,"downtown","Honolulu, HI",0.868636363636364,"Honolulu","Pacific","#6d247a"
"95",2066,2020-04-13,"downtown","Los Angeles, CA",0.476818181818182,"Los Angeles","Pacific","#6d247a"
"96",2073,2020-04-13,"downtown","Oakland, CA",0.566818181818182,"Oakland","Pacific","#6d247a"
"97",2056,2020-04-13,"downtown","Portland, OR",0.506363636363636,"Portland","Pacific","#6d247a"
"98",2106,2020-04-13,"downtown","Sacramento, CA",0.457272727272727,"Sacramento","Pacific","#6d247a"
"99",2072,2020-04-13,"downtown","San Diego, CA",0.368636363636364,"San Diego","Pacific","#6d247a"
"100",2089,2020-04-13,"downtown","San Francisco, CA",0.225909090909091,"San Francisco","Pacific","#6d247a"
"101",2082,2020-04-13,"downtown","San Jose, CA",0.375454545454545,"San Jose","Pacific","#6d247a"
"102",2090,2020-04-13,"downtown","Seattle, WA",0.392727272727273,"Seattle","Pacific","#6d247a"
"103",2108,2020-04-13,"downtown","Atlanta, GA",0.285454545454545,"Atlanta","Southeast","#dc4633"
"104",2088,2020-04-13,"downtown","Charlotte, NC",0.404545454545455,"Charlotte","Southeast","#dc4633"
"105",2084,2020-04-13,"downtown","Jacksonville, FL",0.498181818181818,"Jacksonville","Southeast","#dc4633"
"106",2059,2020-04-13,"downtown","Memphis, TN",0.455,"Memphis","Southeast","#dc4633"
"107",2112,2020-04-13,"downtown","Miami, FL",0.492272727272727,"Miami","Southeast","#dc4633"
"108",2093,2020-04-13,"downtown","Nashville, TN",0.225454545454545,"Nashville","Southeast","#dc4633"
"109",2079,2020-04-13,"downtown","New Orleans, LA",0.210909090909091,"New Orleans","Southeast","#dc4633"
"110",2111,2020-04-13,"downtown","Raleigh, NC",0.280909090909091,"Raleigh","Southeast","#dc4633"
"111",2078,2020-04-13,"downtown","Tampa, FL",0.514090909090909,"Tampa","Southeast","#dc4633"
"112",2063,2020-04-13,"downtown","Albuquerque, NM",0.636363636363636,"Albuquerque","Southwest","#e6ab02"
"113",2083,2020-04-13,"downtown","Austin, TX",0.278636363636364,"Austin","Southwest","#e6ab02"
