,city,week,metric,normalized_visits_by_total_visits
160,Albuquerque,2021-03-01,downtown,0.72
161,Albuquerque,2021-03-01,metro,0.99
162,Albuquerque,2021-03-08,relative,0.58
163,Albuquerque,2021-03-08,downtown,0.68
164,Albuquerque,2021-03-08,metro,1.18
165,Albuquerque,2021-03-15,relative,0.56
166,Albuquerque,2021-03-15,downtown,0.67
167,Albuquerque,2021-03-15,metro,1.19
168,Albuquerque,2021-03-22,relative,0.55
169,Albuquerque,2021-03-22,downtown,0.63
170,Albuquerque,2021-03-22,metro,1.14
171,Albuquerque,2021-03-29,relative,0.61
172,Albuquerque,2021-03-29,downtown,0.6
173,Albuquerque,2021-03-29,metro,0.98
174,Albuquerque,2021-04-05,relative,0.68
175,Albuquerque,2021-04-05,downtown,0.74
176,Albuquerque,2021-04-05,metro,1.08
177,Albuquerque,2021-04-12,relative,0.62
178,Albuquerque,2021-04-12,downtown,0.68
179,Albuquerque,2021-04-12,metro,1.1
180,Albuquerque,2021-04-19,relative,0.63
181,Albuquerque,2021-04-19,downtown,0.69
182,Albuquerque,2021-04-19,metro,1.11
183,Albuquerque,2021-04-26,relative,0.7
184,Albuquerque,2021-04-26,downtown,0.65
185,Albuquerque,2021-04-26,metro,0.93
186,Albuquerque,2021-05-03,relative,0.69
187,Albuquerque,2021-05-03,downtown,0.73
188,Albuquerque,2021-05-03,metro,1.06
189,Albuquerque,2021-05-10,relative,0.71
190,Albuquerque,2021-05-10,downtown,0.79
191,Albuquerque,2021-05-10,metro,1.11
192,Albuquerque,2021-05-17,relative,0.69
193,Albuquerque,2021-05-17,downtown,0.72
194,Albuquerque,2021-05-17,metro,1.04
195,Albuquerque,2021-05-24,relative,0.69
196,Albuquerque,2021-05-24,downtown,0.73
197,Albuquerque,2021-05-24,metro,1.06
198,Albuquerque,2021-05-31,relative,0.72
199,Albuquerque,2021-05-31,downtown,0.74
200,Albuquerque,2021-05-31,metro,1.04
201,Albuquerque,2021-06-07,relative,0.7
202,Albuquerque,2021-06-07,downtown,0.74
203,Albuquerque,2021-06-07,metro,1.06
204,Albuquerque,2021-06-14,relative,0.68
205,Albuquerque,2021-06-14,downtown,0.72
206,Albuquerque,2021-06-14,metro,1.05
207,Albuquerque,2021-06-21,relative,0.7
208,Albuquerque,2021-06-21,downtown,0.71
209,Albuquerque,2021-06-21,metro,1.03
210,Albuquerque,2021-06-28,relative,0.71
211,Albuquerque,2021-06-28,downtown,0.7
212,Albuquerque,2021-06-28,metro,0.99
213,Albuquerque,2021-07-05,relative,0.74
214,Albuquerque,2021-07-05,downtown,0.85
215,Albuquerque,2021-07-05,metro,1.15
216,Albuquerque,2021-07-12,relative,0.68
217,Albuquerque,2021-07-12,downtown,0.73
218,Albuquerque,2021-07-12,metro,1.08
219,Albuquerque,2021-07-19,relative,0.75
220,Albuquerque,2021-07-19,downtown,0.78
221,Albuquerque,2021-07-19,metro,1.05
222,Albuquerque,2021-07-26,relative,0.71
